楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
Into The Madness,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9876357,1,1,0,0
Circulator,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9817518,1,1,0,0
悪戯センセーション,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9879125,1,1,0,0
ΩBIRD,MAXIMUM,17,EXCESSIVE COMPLETE,S,9925705,1,1,0,0
Get over!!,MAXIMUM,16,EXCESSIVE COMPLETE,S,9938195,1,1,0,0
Sweetest Paranoia,MAXIMUM,16,EXCESSIVE COMPLETE,S,9963257,1,1,0,0
諏訪大信仰,MAXIMUM,18,EXCESSIVE COMPLETE,S,9931442,2,2,0,0
DESIRE,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9842783,1,1,0,0
Little Big Princess(DJ katsu EDIT),MAXIMUM,16,EXCESSIVE COMPLETE,S,9905213,1,1,0,0
Atropa bella-donna,EXHAUST,16,EXCESSIVE COMPLETE,S,9954248,1,1,0,0
Atropa bella-donna,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9771075,2,2,0,0
Adrenaline Rush,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9874371,1,1,0,0
clear:wings,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9889240,1,1,0,0
Xicholauncher,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9810662,2,2,0,0
THE凸GENERATOR,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9809590,1,1,0,0
THE凸GENERATOR,MAXIMUM,19,COMPLETE,A+,9226689,4,4,0,0
シープドリーミン,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9817041,2,2,0,0
Chocolate Parade,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9841628,3,3,0,0
ツマミ戦隊 タテレンジャー,MAXIMUM,18,COMPLETE,AA,9456300,6,4,0,0
Tribal Trial,MAXIMUM,17,EXCESSIVE COMPLETE,AA+,9662658,3,3,0,0
Barbatos,EXHAUST,16,EXCESSIVE COMPLETE,S,9919623,1,1,0,0
Barbatos,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9699127,4,4,0,0
50th Memorial Songs -The BEMANI History-,VIVID,17,EXCESSIVE COMPLETE,AAA+,9839944,2,2,0,0
50th Memorial Songs -二人の時 ～under the cherry blossoms～-,VIVID,16,EXCESSIVE COMPLETE,S,9918630,1,1,0,0
50th Memorial Songs -Flagship medley-,VIVID,16,EXCESSIVE COMPLETE,AAA+,9897959,1,1,0,0
アオアラシ,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9687697,2,2,0,0
Enchanté,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9797001,2,2,0,0
Bye or not,MAXIMUM,17,EXCESSIVE COMPLETE,S,9929724,1,1,0,0
ヒトリゴト／アニメ「エロマンガ先生」OP,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9808787,1,1,0,0
VIVID DEBUT!,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9841930,2,2,0,0
Enigma II,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9800275,1,1,0,0
Aurolla,EXHAUST,16,EXCESSIVE COMPLETE,S,9935864,1,1,0,0
Aurolla,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9756286,1,1,0,0
Glorious Journey,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9885844,1,1,0,0
Glorious Journey,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9782529,2,2,0,0
Sacrifice Escape: 不条理の模倣による感情と代償,MAXIMUM,17,EXCESSIVE COMPLETE,S,9901754,3,3,0,0
翠雨の祷,EXHAUST,16,EXCESSIVE COMPLETE,S,9954780,1,1,0,0
翠雨の祷,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9824273,2,2,0,0
SociuS,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9735632,1,1,0,0
50th Memorial Songs -Beginning Story-,VIVID,16,EXCESSIVE COMPLETE,AAA+,9884196,2,2,0,0
革命パッショネイト,MAXIMUM,17,EXCESSIVE COMPLETE,S,9921277,1,1,0,0
Sharkbait,MAXIMUM,17,EXCESSIVE COMPLETE,AA+,9692206,4,4,0,0
スイーツはとまらない♪,MAXIMUM,16,EXCESSIVE COMPLETE,S,9916371,1,1,0,0
TENKAICHI ULTIMATE BOSSRUSH MEDLEY,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9853338,2,2,0,0
TENKAICHI ULTIMATE BOSSRUSH MEDLEY,MAXIMUM,19,COMPLETE,AA+,9598593,4,3,0,0
熱情のサパデアード,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9870499,3,3,0,0
120秒のエンドロール,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9849553,1,1,0,0
ヒカリユリイカ,MAXIMUM,16,EXCESSIVE COMPLETE,S,9963186,3,3,0,0
び,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9801816,2,2,0,0
び,MAXIMUM,18,COMPLETE,AA+,9594522,4,4,0,0
ベビーステップ,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9888093,3,3,0,0
無魎大数,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9786057,2,2,0,0
ARROW RAIN,EXHAUST,16,EXCESSIVE COMPLETE,S,9940995,3,3,0,0
ARROW RAIN,MAXIMUM,18,COMPLETE,AA+,9671081,7,7,0,0
伊邪那美白山姫大神,MAXIMUM,17,EXCESSIVE COMPLETE,S,9908499,1,1,0,0
雲海,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9879587,1,1,0,0
vivid landscape,MAXIMUM,17,EXCESSIVE COMPLETE,AA+,9694072,1,1,0,0
Enjoy This Time,MAXIMUM,17,EXCESSIVE COMPLETE,S,9948512,6,6,0,0
On take SUN,EXHAUST,16,ULTIMATE CHAIN,S,9975698,4,4,1,0
On take SUN,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9723311,1,1,0,0
怪盗Ｆの台本～消えたダイヤの謎～,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9518072,2,2,0,0
Colorless feat.ももかみ,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9788639,1,1,0,0
ガヴリールドロップキック／アニメ「ガヴリールドロップアウト」より,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9871703,2,2,0,0
君は Fantasista,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9888731,1,1,0,0
GaLaXyEggPlanT,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9858883,3,3,0,0
GaLaXyEggPlanT,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9673058,2,2,0,0
GALAXY BURST,EXHAUST,16,EXCESSIVE COMPLETE,S,9910504,1,1,0,0
GALAXY BURST,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9762569,5,3,0,0
クレイジークレイジーダンサーズ,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9889418,1,1,0,0
消失(Hommarju Remix),MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9707062,2,2,0,0
Jack-the-Ripper◆,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9897009,1,1,0,0
Jack-the-Ripper◆,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9773509,2,2,0,0
scary night,MAXIMUM,17,EXCESSIVE COMPLETE,S,9961580,1,1,0,0
全力ハッピーライフ,MAXIMUM,17,EXCESSIVE COMPLETE,S,9953423,1,1,0,0
ハレ晴レユカイ／アニメ「涼宮ハルヒの憂鬱」より,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9834315,2,2,0,0
Paradisus-Paradoxum／アニメ「Re:ゼロから始める異世界生活」より,MAXIMUM,17,ULTIMATE CHAIN,S,9976203,5,5,1,0
bistro twins☆☆☆,MAXIMUM,17,EXCESSIVE COMPLETE,S,9958953,1,1,0,0
Believe (y)our Wings {V:IVID RAYS},MAXIMUM,17,EXCESSIVE COMPLETE,S,9905201,5,5,0,0
Believe (y)our Wings {GRA5P WAVES},MAXIMUM,17,EXCESSIVE COMPLETE,S,9900086,4,3,0,0
BLIZZARD BEAT,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9779874,1,1,0,0
Princess Lily,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9823529,1,1,0,0
ぼくらの16bit戦争,MAXIMUM,17,ULTIMATE CHAIN,S,9912087,2,2,1,0
POP TEAM EPIC／アニメ「ポプテピピック」より,MAXIMUM,16,EXCESSIVE COMPLETE,S,9910546,2,2,0,0
真夏の海の修道女,MAXIMUM,17,EXCESSIVE COMPLETE,AA+,9696406,1,1,0,0
真夏の蜜と唇 fm. 希望の星は青霄に昇る,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9841584,1,1,0,0
もってけ！セーラーふく／アニメ「らき☆すた」より,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9828926,1,1,0,0
ようこそジャパリパークへ／アニメ「けものフレンズ」より,MAXIMUM,17,EXCESSIVE COMPLETE,S,9937210,1,1,0,0
零次元エクスプレス,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9782937,1,1,0,0
lEyl,EXHAUST,16,EXCESSIVE COMPLETE,S,9948246,1,1,0,0
lEyl,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9762618,2,2,0,0
Record one's Dream,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9876998,1,1,0,0
Revolution,MAXIMUM,17,EXCESSIVE COMPLETE,S,9911223,1,1,0,0
V,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9548556,1,1,0,0
ULTRAVELOCITY,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9797794,2,1,0,0
ΣmbryØ,ADVANCED,15,EXCESSIVE COMPLETE,S,9916955,1,1,0,0
ΣmbryØ,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9785945,7,4,0,0
ΣmbryØ,MAXIMUM,20,PLAYED,B,8539715,4,0,0,0
Cross Fire,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9882943,5,4,0,0
Cross Fire,MAXIMUM,19,EXCESSIVE COMPLETE,AAA,9703532,9,8,0,0
GODHEART,EXHAUST,17,EXCESSIVE COMPLETE,S,9905385,5,4,0,0
GODHEART,MAXIMUM,19,EXCESSIVE COMPLETE,AAA,9714229,3,2,0,0
THE HEAVEN,EXHAUST,15,PLAYED,S,9948578,1,0,0,0
THE HEAVEN,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9760502,4,2,0,0
祝福の色彩は想い結ぶ君たち迄,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9842598,2,1,0,0
祝福の色彩は想い結ぶ君たち迄,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9687630,3,2,0,0
Destiny,EXHAUST,16,EXCESSIVE COMPLETE,S,9907573,3,1,0,0
Destiny,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9861111,10,8,0,0
*Feels Seasickness...*,ADVANCED,15,PLAYED,AAA,9796747,1,0,0,0
*Feels Seasickness...*,EXHAUST,18,EXCESSIVE COMPLETE,AA+,9651715,4,2,0,0
*Feels Seasickness...*,MAXIMUM,20,COMPLETE,AA,9416342,14,2,0,0
Adansonia,MAXIMUM,16,EXCESSIVE COMPLETE,S,9964243,1,1,0,0
ゴーストルール,EXHAUST,15,EXCESSIVE COMPLETE,S,9922506,1,1,0,0
ゴーストルール,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9838788,3,2,0,0
スペクトラム,MAXIMUM,16,EXCESSIVE COMPLETE,AAA+,9885100,2,2,0,0
すろぉもぉしょん,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9848675,2,2,0,0
セイシュンライナー,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9865134,1,1,0,0
セイシュンライナー,MAXIMUM,17,EXCESSIVE COMPLETE,S,9937477,3,3,0,0
moon,MAXIMUM,16,EXCESSIVE COMPLETE,S,9930592,2,2,0,0
モザイクロール,MAXIMUM,16,EXCESSIVE COMPLETE,S,9969919,2,2,0,0
ALTONA,EXHAUST,15,PLAYED,S,9917149,1,0,0,0
ALTONA,GRAVITY,18,EXCESSIVE COMPLETE,AAA+,9863517,2,2,0,0
She Turns Me On,EXHAUST,15,PLAYED,S,9953488,1,0,0,0
She Turns Me On,GRAVITY,18,EXCESSIVE COMPLETE,S,9934518,1,1,0,0
真っ白な靴,EXHAUST,16,EXCESSIVE COMPLETE,S,9951814,3,2,0,0
真っ白な靴,GRAVITY,18,EXCESSIVE COMPLETE,AAA,9705376,3,3,0,0
REDO the NIGHT,EXHAUST,15,ULTIMATE CHAIN,S,9945086,2,1,1,0
REDO the NIGHT,GRAVITY,18,EXCESSIVE COMPLETE,AAA+,9877998,2,2,0,0
MODEL FT4,EXHAUST,16,EXCESSIVE COMPLETE,S,9914529,1,1,0,0
MODEL FT4,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9736611,2,2,0,0
アンハッピーリフレイン,MAXIMUM,17,EXCESSIVE COMPLETE,S,9911883,2,2,0,0
KIRAMEKI OVERDRIVE,MAXIMUM,16,EXCESSIVE COMPLETE,AAA+,9877286,1,1,0,0
Twilight ∞ nighT,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9815974,1,1,0,0
Poison AND÷OR Affection,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9836021,1,1,0,0
ローリンガール,MAXIMUM,16,EXCESSIVE COMPLETE,S,9963828,1,1,0,0
Catch Our Fire!,EXHAUST,15,EXCESSIVE COMPLETE,S,9942321,1,1,0,0
Catch Our Fire!,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9766490,3,2,0,0
Divine's or Deal,EXHAUST,16,EXCESSIVE COMPLETE,S,9939949,1,1,0,0
Divine's or Deal,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9827427,2,2,0,0
ファイナルレター,EXHAUST,16,EXCESSIVE COMPLETE,S,9930924,2,2,0,0
ファイナルレター,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9836492,5,5,0,0
ブチ上げ候！現代忍者三姉妹,MAXIMUM,17,ULTIMATE CHAIN,S,9908935,4,4,1,0
Musha Vibration,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9846834,1,1,0,0
Sulk,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9890745,5,5,0,0
†渚の小悪魔ラヴリィ～レイディオ†,EXHAUST,15,EXCESSIVE COMPLETE,S,9928109,1,1,0,0
†渚の小悪魔ラヴリィ～レイディオ†,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9601259,2,2,0,0
Midnight City Warfare,EXHAUST,16,EXCESSIVE COMPLETE,S,9954569,2,2,0,0
Midnight City Warfare,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9719690,3,3,0,0
ouroboros -twin stroke of the end-,EXHAUST,16,ULTIMATE CHAIN,S,9926868,3,3,1,0
ouroboros -twin stroke of the end-,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9775326,5,5,0,0
逆月,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9868017,5,5,0,0
逆月,MAXIMUM,19,EXCESSIVE COMPLETE,AAA,9754672,5,4,0,0
Xevel,EXHAUST,16,EXCESSIVE COMPLETE,S,9914511,2,2,0,0
Xevel,MAXIMUM,18,COMPLETE,AAA,9721706,5,3,0,0
Taiko Drum Monster,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9896530,4,4,0,0
Taiko Drum Monster,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9746118,4,4,0,0
Elemental Creation,EXHAUST,17,EXCESSIVE COMPLETE,S,9925040,2,2,0,0
Elemental Creation,MAXIMUM,19,COMPLETE,AAA,9758436,10,10,0,0
Empathetic,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9885210,1,1,0,0
お米の美味しい炊き方、そしてお米を食べることによるその効果。,EXHAUST,15,EXCESSIVE COMPLETE,S,9953234,1,1,0,0
お米の美味しい炊き方、そしてお米を食べることによるその効果。,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9818409,2,2,0,0
GAIA,EXHAUST,15,EXCESSIVE COMPLETE,AAA,9736279,1,1,0,0
GAIA,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9782913,3,3,0,0
Synergy For Angels,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9867037,1,1,0,0
STULTI,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9875504,4,4,0,0
STULTI,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9710068,3,3,0,0
晴天Bon Voyage,MAXIMUM,16,EXCESSIVE COMPLETE,S,9902890,1,1,0,0
創世ノート,MAXIMUM,17,EXCESSIVE COMPLETE,S,9947523,1,1,0,0
虹色の花,MAXIMUM,16,EXCESSIVE COMPLETE,S,9948944,1,1,0,0
ラキラキ,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9833442,1,1,0,0
Invisible Bullets,EXHAUST,15,EXCESSIVE COMPLETE,S,9937977,1,1,0,0
Invisible Bullets,MAXIMUM,17,EXCESSIVE COMPLETE,S,9925227,2,2,0,0
Venomous Firefly,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9816961,4,4,0,0
Venomous Firefly,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9541583,8,8,0,0
Tic Exe,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9867605,3,3,0,0
Night Rockin' Bird,MAXIMUM,18,EXCESSIVE COMPLETE,S,9916876,5,4,0,0
Nostalgic Blood of the Strife,EXHAUST,16,EXCESSIVE COMPLETE,S,9925558,3,3,0,0
Nostalgic Blood of the Strife,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9744027,8,7,0,0
Princess K,MAXIMUM,16,EXCESSIVE COMPLETE,S,9933375,1,1,0,0
PROVOES*PROPOSE <<êl fine>>,EXHAUST,16,EXCESSIVE COMPLETE,S,9930555,3,2,0,0
PROVOES*PROPOSE <<êl fine>>,GRAVITY,18,EXCESSIVE COMPLETE,AA+,9639534,2,2,0,0
マイネ・クライネ・ナハトムジーク,MAXIMUM,16,EXCESSIVE COMPLETE,S,9926097,1,1,0,0
Akzeriyyuth,EXHAUST,15,EXCESSIVE COMPLETE,S,9975062,1,1,0,0
Akzeriyyuth,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9849872,4,4,0,0
異世界ノットパンピー,MAXIMUM,16,EXCESSIVE COMPLETE,S,9923580,1,1,0,0
嘘とぬいぐるみ,MAXIMUM,16,EXCESSIVE COMPLETE,AAA+,9860890,1,1,0,0
Coldlapse,EXHAUST,15,EXCESSIVE COMPLETE,S,9942481,1,1,0,0
Coldlapse,MAXIMUM,17,EXCESSIVE COMPLETE,S,9911764,4,4,0,0
No way,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9847438,2,1,0,0
Beyond the BLUE,EXHAUST,16,EXCESSIVE COMPLETE,S,9926866,4,4,0,0
Beyond the BLUE,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9781125,3,3,0,0
4NT1 D34D,MAXIMUM,16,EXCESSIVE COMPLETE,AAA+,9891838,4,4,0,0
Breakin' Asia,EXHAUST,16,EXCESSIVE COMPLETE,S,9924707,1,1,0,0
Breakin' Asia,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9857325,2,2,0,0
蓬莱フェスティボー,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9873254,2,2,0,0
Lunatic Sprinter,EXHAUST,15,EXCESSIVE COMPLETE,S,9952267,1,1,0,0
Lunatic Sprinter,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9709172,2,2,0,0
SUPER SUMMER SALE,EXHAUST,15,EXCESSIVE COMPLETE,S,9910007,1,1,0,0
SUPER SUMMER SALE,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9655436,2,2,0,0
星座が恋した瞬間を。,MAXIMUM,17,EXCESSIVE COMPLETE,S,9901900,1,1,0,0
Puberty Dysthymia,EXHAUST,15,EXCESSIVE COMPLETE,S,9910990,1,1,0,0
Puberty Dysthymia,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9741379,1,1,0,0
風鈴花火,MAXIMUM,16,EXCESSIVE COMPLETE,S,9923025,1,1,0,0
Prey,EXHAUST,16,EXCESSIVE COMPLETE,S,9912641,1,1,0,0
Prey,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9640019,2,2,0,0
Life is beautiful,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9860900,2,2,0,0
Rejoin,MAXIMUM,17,EXCESSIVE COMPLETE,AAA,9753566,4,4,0,0
Sleepless days,MAXIMUM,17,EXCESSIVE COMPLETE,S,9948186,1,1,0,0
MAXIVCORD,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9872068,2,2,0,0
Let's Bounce !!,MAXIMUM,16,EXCESSIVE COMPLETE,AAA+,9858921,3,3,0,0
灼熱のBlazin' Beat,MAXIMUM,16,EXCESSIVE COMPLETE,S,9930257,1,1,0,0
Burning Spark!,MAXIMUM,16,EXCESSIVE COMPLETE,S,9919717,1,1,0,0
Black night,EXHAUST,15,EXCESSIVE COMPLETE,S,9973351,1,1,0,0
Black night,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9872515,4,3,0,0
まじかる生主＠りすなちゃん,EXHAUST,15,EXCESSIVE COMPLETE,S,9988186,3,1,0,0
まじかる生主＠りすなちゃん,GRAVITY,18,EXCESSIVE COMPLETE,AA+,9627688,1,1,0,0
Liévre -blanche-,MAXIMUM,17,ULTIMATE CHAIN,AAA+,9888594,4,4,1,0
Another Chapter,MAXIMUM,17,EXCESSIVE COMPLETE,S,9938060,8,7,0,0
Absolute Domination,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9841075,5,4,0,0
Absolute Domination,MAXIMUM,19,COMPLETE,AA+,9539748,15,11,0,0
オニユリ,EXHAUST,16,EXCESSIVE COMPLETE,S,9908806,2,1,0,0
オニユリ,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9722222,8,3,0,0
Xronièr,ADVANCED,15,PLAYED,S,9945355,1,0,0,0
Xronièr,EXHAUST,18,EXCESSIVE COMPLETE,AA+,9674358,9,7,0,0
Xronièr,MAXIMUM,20,COMPLETE,AA,9453616,16,1,0,0
コメット⇒スケイター,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9867156,4,3,0,0
サイコパスラビット,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9828431,5,3,0,0
サイコパスラビット,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9676204,12,9,0,0
水簾ノ調,EXHAUST,15,EXCESSIVE COMPLETE,S,9928571,1,1,0,0
水簾ノ調,MAXIMUM,18,EXCESSIVE COMPLETE,S,9918783,7,6,0,0
スラッシュ//シスターズ,EXHAUST,15,EXCESSIVE COMPLETE,S,9941066,1,1,0,0
スラッシュ//シスターズ,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9898415,6,3,0,0
そして黄金郷へ,EXHAUST,15,EXCESSIVE COMPLETE,S,9904844,1,1,0,0
そして黄金郷へ,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9739717,4,2,0,0
光射す澪のユズリハ,EXHAUST,16,EXCESSIVE COMPLETE,S,9942493,2,1,0,0
光射す澪のユズリハ,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9736421,5,2,0,0
Failnaught,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9894204,4,3,0,0
Failnaught,MAXIMUM,19,COMPLETE,AA+,9566666,7,1,0,0
Fly Like You,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9875983,2,1,0,0
Fly Like You,MAXIMUM,19,COMPLETE,AA,9393401,5,1,0,0
Made In Love,MAXIMUM,17,EXCESSIVE COMPLETE,S,9910447,5,4,0,0
FREEDOM DiVE,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9804347,2,2,0,0
FREEDOM DiVE,MAXIMUM,19,COMPLETE,AA,9368631,5,2,0,0
Dark Matter,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9863403,2,2,0,0
ひとりぼっちの魔王,MAXIMUM,16,EXCESSIVE COMPLETE,S,9937500,2,2,0,0
ホワイトパレード,EXHAUST,16,ULTIMATE CHAIN,S,9970461,1,1,1,0
ホワイトパレード,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9738084,3,3,0,0
Justitia Gladius,EXHAUST,15,EXCESSIVE COMPLETE,S,9960285,1,1,0,0
Justitia Gladius,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9848858,3,3,0,0
Levier'n NābYss,EXHAUST,16,EXCESSIVE COMPLETE,S,9904618,2,2,0,0
Levier'n NābYss,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9787302,7,5,0,0
Invisible Full Moon 古屋直雪 remix,MAXIMUM,16,EXCESSIVE COMPLETE,AAA+,9844479,5,5,0,0
Victim of Nights,EXHAUST,15,EXCESSIVE COMPLETE,S,9965986,1,1,0,0
Victim of Nights,MAXIMUM,18,COMPLETE,AA+,9602543,4,4,0,0
少女綺想曲 -G.X.N. Remix-,MAXIMUM,17,EXCESSIVE COMPLETE,S,9907120,2,2,0,0
Mysterious Nights,MAXIMUM,16,EXCESSIVE COMPLETE,S,9943267,1,1,0,0
BLAZING_LAZER,EXHAUST,16,ULTIMATE CHAIN,S,9950946,1,1,1,0
BLAZING_LAZER,MAXIMUM,18,EXCESSIVE COMPLETE,AAA,9781003,3,3,0,0
Melty Sweets,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9847619,4,4,0,0
Reb∞t,EXHAUST,16,EXCESSIVE COMPLETE,S,9929995,4,2,0,0
Reb∞t,GRAVITY,18,EXCESSIVE COMPLETE,AAA,9752340,8,7,0,0
KIMIDORI Streak!!,EXHAUST,15,EXCESSIVE COMPLETE,S,9948387,2,2,0,0
KIMIDORI Streak!!,MAXIMUM,18,EXCESSIVE COMPLETE,AAA+,9877986,4,3,0,0
Gate of Atlantis,MAXIMUM,18,COMPLETE,AA+,9559103,2,1,0,0
失敗作少女,MAXIMUM,17,EXCESSIVE COMPLETE,S,9926749,2,2,0,0
Secret Traveler -MeniRemix-,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9899043,4,4,0,0
Knights Assault,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9895493,4,4,0,0
プレインエイジア(MRM REMIX),MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9820422,2,2,0,0
見世物ライフ,MAXIMUM,17,EXCESSIVE COMPLETE,S,9936846,1,1,0,0
MeteorGlow Aftermath,EXHAUST,16,ULTIMATE CHAIN,S,9902439,1,1,1,0
MeteorGlow Aftermath,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9617047,2,2,0,0
ECHIDNA,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9880952,1,1,0,0
ECHIDNA,MAXIMUM,18,EXCESSIVE COMPLETE,AA+,9627630,2,2,0,0
Chrono Diver -PENDULUMs-,EXHAUST,17,ULTIMATE CHAIN,S,9962514,2,2,1,0
Chrono Diver -PENDULUMs-,MAXIMUM,19,COMPLETE,AA+,9508529,8,5,0,0
Nexta,EXHAUST,15,EXCESSIVE COMPLETE,S,9946275,2,1,0,0
Nexta,GRAVITY,18,EXCESSIVE COMPLETE,AAA,9712505,5,5,0,0
ILL-STARRED Diver,MAXIMUM,17,EXCESSIVE COMPLETE,S,9904519,2,2,0,0
煙,MAXIMUM,17,EXCESSIVE COMPLETE,AAA+,9848872,4,4,0,0
