楽曲名,難易度,楽曲レベル,クリアランク,スコアグレード,ハイスコア,プレー回数,クリア回数,ULTIMATE CHAIN,PERFECT
Twin Rocket,EXHAUST,17,EXCESSIVE COMPLETE,S,9924812,15,14,0,0
TU-MA-MI△ALL-NIGHTER,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9813953,7,5,0,0
Hustle Beat!!,EXHAUST,15,EXCESSIVE COMPLETE,S,9923756,5,3,0,0
THUNDERCRACK,EXHAUST,17,EXCESSIVE COMPLETE,S,9903282,24,10,0,0
The Starry true,EXHAUST,12,COMPLETE,AA,9335570,1,1,0,0
メイガスナイト ～ Arr.Demetori,EXHAUST,16,EXCESSIVE COMPLETE,S,9914529,8,7,0,0
Liminality,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9899702,7,7,0,0
ポメグラネイト,EXHAUST,16,ULTIMATE CHAIN,S,9912216,3,3,1,0
ポメグラネイト,GRAVITY,17,EXCESSIVE COMPLETE,S,9909620,11,11,0,0
イグジスタンス,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9834842,21,9,0,0
F.K.S.,NOVICE,6,COMPLETE,AA+,9640718,1,1,0,0
F.K.S.,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9812376,10,8,0,0
gigadelic(m3rkAb4# R3m!x),ADVANCED,11,PLAYED,AA+,9625176,1,0,0,0
gigadelic(m3rkAb4# R3m!x),EXHAUST,17,EXCESSIVE COMPLETE,AAA,9754648,15,13,0,0
鎖の少女,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9817726,1,1,0,0
最速最高シャッターガール,EXHAUST,16,ULTIMATE CHAIN,S,9941520,4,4,1,0
The Wind of Gold -HΔPPY MIX-,ADVANCED,10,COMPLETE,A+,9184782,1,1,0,0
The Wind of Gold -HΔPPY MIX-,EXHAUST,15,EXCESSIVE COMPLETE,S,9927302,11,9,0,0
しゅわスパ大作戦☆ - SDVX Edit. -,EXHAUST,13,ULTIMATE CHAIN,S,9967637,2,2,1,0
Jump!,EXHAUST,13,COMPLETE,A+,9126506,1,1,0,0
SkyDrive!,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9881889,1,1,0,0
月見夜ラビット,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9851760,2,2,0,0
トリコロール・ダイアリー,EXHAUST,16,ULTIMATE CHAIN,S,9958651,8,8,1,0
ナイフ,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9813539,1,1,0,0
Never Regret Anything,EXHAUST,16,ULTIMATE CHAIN,S,9943931,4,4,1,0
Hyper☆Chipspace,EXHAUST,16,EXCESSIVE COMPLETE,S,9955934,7,6,0,0
Violet Soul,EXHAUST,16,EXCESSIVE COMPLETE,S,9914826,7,7,0,0
飛花落葉,EXHAUST,14,COMPLETE,A+,9186746,1,1,0,0
Pieces,EXHAUST,12,COMPLETE,A+,9101019,1,1,0,0
FIRE FIRE(Kazmasa Remix),NOVICE,6,COMPLETE,A+,9112149,1,1,0,0
FIRE FIRE(Kazmasa Remix),ADVANCED,11,COMPLETE,A,8933933,2,1,0,0
FIRE FIRE(Kazmasa Remix),EXHAUST,17,EXCESSIVE COMPLETE,S,9900870,26,14,0,0
Find the Answer,EXHAUST,12,ULTIMATE CHAIN,S,9983089,2,2,1,0
Belly Flopper,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9886013,1,1,0,0
星屑ユートピア,ADVANCED,7,PLAYED,AA,9359190,1,0,0,0
ぼくらしかしらない,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9882790,4,4,0,0
物凄い狂っとるフランちゃんが物凄いうた,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9790625,20,12,0,0
Rubeus,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9863176,8,7,0,0
Our Faith (Faithful MTL Remix),ADVANCED,11,COMPLETE,AA+,9526218,1,1,0,0
Our Faith (Faithful MTL Remix),EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9830547,15,9,0,0
The Sampling Paradise (N-Driver Style),ADVANCED,12,COMPLETE,AA,9327411,1,1,0,0
The Sampling Paradise (N-Driver Style),EXHAUST,16,EXCESSIVE COMPLETE,S,9948914,7,5,0,0
Virtual Sunrise (xac remix),EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9845679,4,2,0,0
Pure Evil-Aya2g Drm'n Tech Rmx-,EXHAUST,17,EXCESSIVE COMPLETE,AAA,9784914,8,6,0,0
I love you even now,EXHAUST,13,EXCESSIVE COMPLETE,AAA+,9853438,1,1,0,0
VILE CAT,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9729827,14,7,0,0
shiny rainbow flower,EXHAUST,15,EXCESSIVE COMPLETE,S,9910575,2,1,0,0
断片Story,EXHAUST,16,EXCESSIVE COMPLETE,S,9935501,5,5,0,0
further the future,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9803613,4,2,0,0
Attack on Dwarf,EXHAUST,14,COMPLETE,A,8988235,1,1,0,0
werewolf howls.,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9727908,15,7,0,0
Pristine Bigband,EXHAUST,15,ULTIMATE CHAIN,S,9930924,2,2,1,0
Mist Tek,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9877604,9,8,0,0
Little princess has no identity.,EXHAUST,17,EXCESSIVE COMPLETE,S,9913700,13,9,0,0
キミヱゴサーチ,EXHAUST,11,EXCESSIVE COMPLETE,AAA+,9892290,1,1,0,0
キミヱゴサーチ,INFINITE,16,EXCESSIVE COMPLETE,S,9945730,10,9,0,0
しんでしまうとはなさけない！,ADVANCED,11,PLAYED,A,8764172,1,0,0,0
しんでしまうとはなさけない！,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9844961,3,3,0,0
ハウトゥー世界征服,EXHAUST,14,ULTIMATE CHAIN,S,9931914,3,3,1,0
打打打打打打打打打打,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9845916,2,2,0,0
打打打打打打打打打打,INFINITE,17,EXCESSIVE COMPLETE,AAA,9707220,7,5,0,0
Appliqué,EXHAUST,16,ULTIMATE CHAIN,S,9957732,4,4,1,0
Appliqué,GRAVITY,17,EXCESSIVE COMPLETE,AAA+,9871019,3,3,0,0
Wish upon Twin Stars,ADVANCED,11,COMPLETE,AAA,9774083,1,1,0,0
Wish upon Twin Stars,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9833416,25,14,0,0
Wish upon Twin Stars,GRAVITY,18,EXCESSIVE COMPLETE,AAA,9726755,25,7,0,0
Growth Memories,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9781553,28,14,0,0
Growth Memories,GRAVITY,19,EXCESSIVE COMPLETE,AAA,9755838,20,16,0,0
CODE -CRiMSON-,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9834214,9,7,0,0
CODE -CRiMSON-,GRAVITY,18,COMPLETE,AA+,9630639,7,5,0,0
はわわｗ！な展開っ！,EXHAUST,15,EXCESSIVE COMPLETE,S,9901012,9,5,0,0
はわわｗ！な展開っ！,GRAVITY,16,EXCESSIVE COMPLETE,S,9914390,4,4,0,0
有頂天ビバーチェ,NOVICE,6,COMPLETE,A,8943248,1,1,0,0
有頂天ビバーチェ,EXHAUST,16,EXCESSIVE COMPLETE,S,9936090,24,14,0,0
白い雪のプリンセスは,ADVANCED,10,PLAYED,A+,9151305,1,0,0,0
白い雪のプリンセスは,EXHAUST,15,EXCESSIVE COMPLETE,S,9977092,5,3,0,0
ナキムシロボ,EXHAUST,13,COMPLETE,A+,9169435,1,1,0,0
僕は空気が嫁ない,ADVANCED,10,PLAYED,A,8714425,1,0,0,0
僕は空気が嫁ない,EXHAUST,15,ULTIMATE CHAIN,S,9966124,6,6,1,0
朱と碧のランページ,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9879054,10,9,0,0
gigadelic -stance xxxx-,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9818241,14,6,0,0
コミカルなミシャグジとラジエーション(PUNK IT ver.),EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9838224,4,3,0,0
The Wind of Gold (folkcore remix),EXHAUST,14,EXCESSIVE COMPLETE,AAA+,9857621,3,2,0,0
FIRE FIRE -DARK BLAZE REMIX-,NOVICE,6,COMPLETE,A+,9124031,1,1,0,0
FIRE FIRE -DARK BLAZE REMIX-,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9893248,12,6,0,0
Monkey Business (lapix Remix),EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9842954,9,7,0,0
Wuv U -More2 HAPPY Re-Mix Special-,NOVICE,5,COMPLETE,AAA,9790268,1,1,0,0
Wuv U -More2 HAPPY Re-Mix Special-,ADVANCED,10,COMPLETE,A,8767123,1,1,0,0
Wuv U -More2 HAPPY Re-Mix Special-,EXHAUST,15,EXCESSIVE COMPLETE,S,9946889,7,4,0,0
INSECTICIDE,EXHAUST,18,EXCESSIVE COMPLETE,AAA,9773895,4,2,0,0
INSECTICIDE,HEAVENLY,19,COMPLETE,AA+,9584070,3,3,0,0
御千手メディテーション,EXHAUST,15,ULTIMATE CHAIN,S,9930986,3,3,1,0
御千手メディテーション,INFINITE,17,ULTIMATE CHAIN,S,9927944,12,9,1,0
KHAMEN BREAK,EXHAUST,16,EXCESSIVE COMPLETE,S,9905412,7,7,0,0
KHAMEN BREAK,INFINITE,16,EXCESSIVE COMPLETE,AAA+,9895640,8,5,0,0
Cleopatrysm,NOVICE,6,COMPLETE,A+,9009762,1,1,0,0
Cleopatrysm,ADVANCED,12,COMPLETE,A+,9038277,1,1,0,0
Cleopatrysm,EXHAUST,15,EXCESSIVE COMPLETE,S,9961858,5,4,0,0
Cleopatrysm,INFINITE,16,ULTIMATE CHAIN,S,9957095,13,11,1,0
悪性ロリィタマキャヴェリズム,ADVANCED,12,COMPLETE,AA+,9615014,2,2,0,0
悪性ロリィタマキャヴェリズム,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9840078,7,6,0,0
Wave of Craze,EXHAUST,15,EXCESSIVE COMPLETE,S,9929078,2,2,0,0
キリトリセン,EXHAUST,13,COMPLETE,A+,9100077,2,1,0,0
幻想浄瑠璃-Aya2g Tech Dance Remix-,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9848602,3,2,0,0
ぼくらのタイムカプセル,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9870290,4,4,0,0
柳の下のデュラハン hard chaos mix,EXHAUST,17,EXCESSIVE COMPLETE,AAA+,9817823,9,5,0,0
リズの内心革命,EXHAUST,13,COMPLETE,A+,9042715,2,1,0,0
リズの内心革命,INFINITE,16,ULTIMATE CHAIN,S,9970224,3,3,1,0
wander+wonder+wand,EXHAUST,15,EXCESSIVE COMPLETE,AAA+,9886363,3,3,0,0
ミライプリズム,EXHAUST,11,COMPLETE,A+,9087048,1,1,0,0
ミライプリズム,INFINITE,15,EXCESSIVE COMPLETE,S,9956418,10,10,0,0
Idola,EXHAUST,17,EXCESSIVE COMPLETE,S,9912175,14,10,0,0
Idola,HEAVENLY,18,COMPLETE,AAA,9745636,7,7,0,0
憂恋☆アクティベーション,EXHAUST,16,EXCESSIVE COMPLETE,AAA+,9891067,5,5,0,0
幻想系世界修復少女,ADVANCED,11,COMPLETE,B,8613666,1,1,0,0
